number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
1,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.054,2.66,Literature,10.2166/wst.2014.390
2,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.068,3.3,Literature,10.2166/wst.2014.390
3,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.105,5.12,Literature,10.2166/wst.2014.390
4,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.318,15.4,Literature,10.2166/wst.2014.390
5,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.501,23.84,Literature,10.2166/wst.2014.390
6,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,0.711,32.18,Literature,10.2166/wst.2014.390
7,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,2.428,104.22,Literature,10.2166/wst.2014.390
8,MIL53(Al),[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1132.41,619.72,0.53246,0.291392,298,8,0.02,5.531,105.6,Literature,10.2166/wst.2014.390
9,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,8,0.04,5,50.5,Literature,10.1039/c3nr04390h
10,ZIF(8)ZnMeOH,[Zn],['Cc1[n-]ccn1'],sod,11.39372,3.4045,11.39372,0.925408,1832.32,1980.01,0.63947,0.691014,298,8,0.04,5,72.33,Literature,10.1039/c3nr04390h
11,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,8,0.04,5,72.67,Literature,10.1039/c3nr04390h
12,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,3.834541062,17.92270531,Literature,10.1016/j.colsurfa.2014.10.023
13,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,8.68357488,40.9178744,Literature,10.1016/j.colsurfa.2014.10.023
14,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,17.63888889,54.44444444,Literature,10.1016/j.colsurfa.2014.10.023
15,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,26.63285024,58.16425121,Literature,10.1016/j.colsurfa.2014.10.023
16,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,44.37681159,61.88405797,Literature,10.1016/j.colsurfa.2014.10.023
17,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,65.98550725,64.92753623,Literature,10.1016/j.colsurfa.2014.10.023
18,ZIF(8)ZnH2O,[Zn],['Cc1[n-]ccn1'],sod,11.33232,3.33749,11.33232,0.937501,1430.55,1525.92,0.6446,0.687573,298,7,0.2,74.8236715,66.61835749,Literature,10.1016/j.colsurfa.2014.10.023
19,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,0.11627907,4.979253112,Literature,10.1039/c4ra12326c
20,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,0.290697674,9.751037344,Literature,10.1039/c4ra12326c
21,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,1.744186047,13.38174274,Literature,10.1039/c4ra12326c
22,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,4.418604651,15.66390041,Literature,10.1039/c4ra12326c
23,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,9.76744186,20.22821577,Literature,10.1039/c4ra12326c
24,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,14.70930233,20.33195021,Literature,10.1039/c4ra12326c
25,MIL(53)Fe,[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,5.67159,5.35667,5.67159,1.17541,1180.5,1004.33,0.56418,0.479984,298,5,1,19.41860465,20.64315353,Literature,10.1039/c4ra12326c
26,MOF(808)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],spn,12.41273,10.09773,12.41273,1.95628,999.07,510.7,0.5069,0.259115,298,7,0.01,5,24.8,Literature,10.1039/c4ra12326c
27,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,17.41439793,34.25531915,Literature,10.1038/srep16613
28,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,40.55936857,75.95744681,Literature,10.1038/srep16613
29,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,57.86242658,104.2553191,Literature,10.1038/srep16613
30,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,74.48486237,119.1489362,Literature,10.1038/srep16613
31,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,110.88805,141.4893617,Literature,10.1038/srep16613
32,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,129.2949745,144.4680851,Literature,10.1038/srep16613
33,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,7,0.5,148.3352398,142.9787234,Literature,10.1038/srep16613
