number,name,organ_smiles
1,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
2,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
3,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
4,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
5,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
6,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
7,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
8,MIL53(Al),['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
9,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
10,ZIF(8)ZnMeOH,['Cc1[n-]ccn1']
11,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
12,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
13,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
14,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
15,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
16,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
17,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
18,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
19,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
20,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
21,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
22,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
23,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
24,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
25,MIL(53)Fe,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
26,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
27,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
28,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
29,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
30,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
31,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
32,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
33,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
34,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
35,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
36,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
37,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
38,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
39,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
40,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
41,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
42,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
43,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
44,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
45,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
46,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
47,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
48,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
49,MIL(100)Fe,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
